word;origin;notes
film;French; Fotoğrafçılıkta, radyografide ve sinemacılıkta resim çekmek için kullanılan, selülozdan, saydam, bükülebilir şerit.
müşteri;Arabic; Hizmet, mal vb. alan ve karşılığında ücret ödeyen kimse
kalkmak;Turkish; Oturmaktayken veya yatmaktayken gitmek üzere yerinden ayrılmak
birinci;Turkish;Zaman, yer, sıra bakımından başkalarından önce gelen kimse, şey
ikinci;Turkish;Zaman, yer, sıra bakımından başkalarından önce gelen kimse, şey
hanım;Turkish; Kız ve kadınlara verilen ünvan
ihtiyaç;Turkish;gereksinim
nokta;Arabic;Biçimi kalemin kâğıda bir defa dokunması ile meydana gelen ben gibi ufak şekil.
hizmet;Arabic;Bir ilçede devleti temsil eden en yetkili yönetim görevlisi
kaymakam;Arabic;Bir ilçede devleti temsil eden en yetkili yönetim görevlisi
vali;Arabic;Bir ilde devleti temsil eden en yetkili yönetim görevlisi
müdür;Arabic;Bir kurum veya kuruluşu yöneten kimse
yardımcı;Turkish; Yardım eden veya gerektiğinde yardım edecek olan kimse vb.
yön;Turkish; Belli bir noktaya göre olan yer
evet;Turkish;Öyledir” anlamında kullanılan bir doğrulama veya onaylama sözü
hayır;Arabic;" ""Yok, öyle değil, olmaz"" anlamlarında onamama, inkâr bildiren bir söz"
uzak;Turkish; Gidilmesi çok süren, çok ötelerde bulunan
yakın;Turkish;Az bir ara ile ayrılmış olan (zaman veya yer), uzak karşıtı.
dikkat;Arabic; Duygularla düşünceyi bir şey üzerinde toplama
bilgi;Turkish; İnsan aklının erebileceği olgu, gerçek ve ilkelerin bütünü
gelecek;Turkish; Daha gelmemiş, yaşanacak zaman
unutmak;Turkish;Aklında kalmamak, hatırlamamak, aklından çıkmak
örnek;Turkish;İncelemek veya denemek üzere insan ve hayvan vücudunun, bitkinin veya nesnenin herhangi bir yerinden alınan doku parçası
şöyle;Turkish;Şunun gibi, şuna benzer biçimde
sanat;Arabic; Duygu ve düşünceleri göze ve gönle hitap edecek şekilde söz, yazı, resim, heykel vb. ile ifade etme konusundaki yaratıcılık
on;Turkish;Dokuzdan sonra gelen sayının adı.
hastalık;Turkish;Organizmada birtakım değişikliklerin ortaya çıkmasıyla sağlığın bozulması durumu
ana;Turkish;anne
takım;Turkish;Bir işte veya bir yerde kullanılan eşya ve aletlerin tamamı
ölmek;Turkish;Yaşamaz olmak, hayatı sona ermek, can vermek
müzik;French;Birtakım duygu ve düşünceleri belli kurallar çerçevesinde uyumlu seslerle anlatma sanatı
enerji;French; Maddede var olan ve ısı, ışık biçiminde ortaya çıkan güç
üniversite;French;fakülte, enstitü, yüksekokul vb. kuruluş ve birimlerden oluşan öğretim kurumu
sağlık;Turkish; Bireyin fiziksel, sosyal ve ruhsal yönden tam bir iyilik durumunda olması, vücut esenliği
spor;French;Bedeni geliştirmek amacıyla belirli kurallara göre kişisel veya toplu olarak gerçekleştirilen hareketlerin tümü.
aşağı;Turkish;Bir şeyin alt bölümü
cevap;Arabic;Bir soruya, bir isteğe, bir söz, bir davranış veya yazıya verilen karşılık
toprak;Turkish;Yer kabuğunun, toz durumuna gelmiş türlü kütle kırıntılarıyla, çürümüş organik cisimlerden oluşan ve canlılara yaşama ortamı sağlayan yüzey bölümü
kan;Turkish; Atardamar ve toplardamarların içinde dolaşarak hücrelerde özümleme, yadımlama görevlerini sağlayan plazma ve yuvarlardan oluşmuş kırmızı renkli sıvı
mutfak;Arabic; Yemek pişirilen yer
salon;French;Bir evde konukları ağırlamakta kullanılan en geniş oda
kasaba;Arabic;İlçeden küçük, köyden büyük, nüfusu iki bin ile yirmi bin arasında olan, belediye ile yönetilen, henüz kırsal özelliklerini yitirmemiş yerleşim merkezi
fiyat;Arabic; Alım veya satımda bir şeyin para karşılığındaki değeri
yavaş;Turkish; Hızlı olmayan
doğal;Turkish;Doğada olan, doğada bulunan
savaş;Turkish;Devletlerin diplomatik ilişkilerini keserek giriştikleri silahlı mücadele
saç;Turkish;Baş derisini kaplayan kıllar
kaybetmek;Arabic;Bir işte, bir uğraşta başarısızlığa uğramak
kalan;Turkish;Kalma işini yapan.
dört;Turkish; Üçten sonra gelen sayının adı
sayfa;Arabic;Üzerine yazı yazılan veya basılan bir kâğıt yaprağın iki yüzünden her biri
kağıt;Persian;Hamur durumuna getirilmiş türlü bitkisel maddelerden yapılan, yazı yazmaya, baskı yapmaya, bir şey sarmaya yarayan kuru, ince yaprak
kalem;Arabic;Hamur durumuna getirilmiş türlü bitkisel maddelerden yapılan, yazı yazmaya, baskı yapmaya, bir şey sarmaya yarayan kuru, ince yaprak
defter;Arabic; Genellikle hafif bir kapak içerisinde, yazı yazmak için bir araya tutturulmuş kâğıt yaprakları
kitap;Arabic;Ciltli veya ciltsiz olarak bir araya getirilmiş, basılı veya yazılı kâğıt yaprakların bütünü
teknoloji;French; Bir sanayi dalı ile ilgili yapım yöntemlerini, kullanılan araç, gereç ve aletleri, bunların kullanım biçimlerini kapsayan uygulama bilgisi
cadde;Arabic; ana yol
sokak;Arabic;caddeye oranla daha dar veya kısa olabilen yol
bakkal;Arabic;Yiyecek, içecek vb. maddeleri perakende olarak satan kimse
mahalle;Arabic; Bir şehrin bir kasabanın, büyükçe bir köyün en az beş yüz nüfusa sahip parçalarından her biri
Pazar;Persian;Satıcıların belirli günlerde mallarını sattıkları geçici yer
yüzyıl;Turkish;İçinde yaşanılan zaman.
doğmak;Turkish; Dünyaya gelmek.
hafif;Arabic;Tartıda ağırlığı az gelen
ağır;Turkish;Tartıda çok çeken
güneş;Turkish;Dünyanın da dâhil olduğu sistemin merkezinde bulunan Güneş’in yaydığı ısı ve ışık
ağaç;Turkish;Meyve verebilen, gövdesi odun veya kereste olmaya elverişli bulunan ve uzun yıllar yaşayabilen bitki
kelime;Arabic;Bir veya birkaç heceden oluşan, anlamlı ses birliği
bina;Arabic;yapı
kulak;Turkish;Başın her iki yanında bulunan işitme organı
yazar;Turkish;Bilim, edebiyat, sanat alanlarında kitap yazan veya kitap hazırlayan, bir eseri ortaya koyan ve eserin sahibi olan kimse
şiir;Arabic;Zengin sembollerle, ritimli sözlerle, seslerin uyumlu kullanımıyla ortaya çıkan, hece ve durak bakımından denk ve kendi başına bir bütün olan edebî anlatım biçimi
roman;French;İnsanın veya çevrenin karakterlerini, göreneklerini inceleyen, serüvenlerini anlatan, duygu ve tutkularını çözümleyen, kurmaca veya gerçek olaylara dayanan uzun edebî tür
hikaye;Arabic;"Gerçek veya tasarlanmış olayları anlatan düzyazı türü; öykü."
hız;Turkish;"Hareketteki çabukluk; sürat"
köşe;French;Birbirini kesen iki çizginin, iki düzlemin oluşturduğu açı
vurmak;Turkish;Elini veya elinde tuttuğu bir şeyi bir yere veya bir kimseye hızla çarpmak
model;French;Resim, heykel vb. yapılırken baka baka benzetilmeye çalışılan nesne veya kimse
balık;Turkish;Omurgalılardan, suda yaşayan, solungaçla nefes alan ve yumurtadan üreyen hayvanların genel adı
miktar;Arabic;nicelik
sevgisiz;Turkish;Sevgisi olmayan.
ekmek;Turkish;Tahıl unundan yapılmış hamurun fırında, sacda veya tandırda pişirilmesiyle yapılan yiyecek
bahçe;Persian;Sebze, meyve, çiçek veya ağaç yetiştirilen yer
tarla;Turkish;Tarıma elverişli olan, sınırlı ve belirli toprak parçası
arsa;Arabic;Üzerine yapı yapılmak için ayrılmış yer
koşmak;Turkish;Adım atışlarını artırarak ileri doğru hızla gitmek
acı;Turkish;Bazı maddelerin dilde bıraktığı yakıcı duyu, tatlı karşıtı
paylaşmak;Turkish;İki veya daha çok kimse bir şeyi kendi aralarında belirli oranda dağıtmak
köpek;Turkish;Köpekgillerden, boy ve biçim bakımından pek çok cinsi olan, çok iyi koku alan, sadık, bekçilik ve avcılık gibi işler için beslenen memeli hayvan
kedi;Turkish;Kedigillerden, memeli, köpek dişleri iyi gelişmiş, çevik ve kuvvetli, evcil, küçük hayvan
kurtuluş;Turkish;Bağımsızlık kazanma.
bağımsızlık;Turkish;Bağımsız olma durumu
vicdan;Arabic;Kişiyi kendi davranışları hakkında bir yargıda bulunmaya iten, kişinin kendi ahlak değerleri üzerine dolaysız ve kendiliğinden yargılama yapmasını sağlayan duygu
milli;Arabic;"Milletle ilgili; ulusal."
büyümek;Turkish;Organizmanın bütününde veya bu bütünün bir bölümünde boyutlar artmak, irileşmek
kardeş;Turkish;Aynı anne babadan doğmuş veya anne babalarından biri aynı olan çocukların birbirine göre adı
polis;French;Şehirde kamu düzenini, huzur ve güvenliği sağlayan kuruluş.
pencere;Persian;Yapıları veya tren, vapur vb. ulaşım araçlarını aydınlatmak, havalandırmak amacıyla yapılan, çerçeve, cam, panjur, perde gibi eklentilerle daha kullanışlı bir duruma getirilen açıklık
ince;Turkish;Kendi cinsinden olanlara göre dar ve kalınlığı az olan
batı;Turkish;Bulunulan yerde sola güney, sağa kuzey alındığında yüzün dönük olduğu yön
doğu;Turkish;Bulunulan yerde sola kuzey, sağa güney alındığında yüzün dönük olduğu yön
kuzey;Turkish;Bulunulan yerde sağa doğu, sola batı alındığında yüzün dönük olduğu yön
güney;Turkish;Bulunulan yerde sola doğu, sağa batı alındığında yüzün dönük olduğu yön
beyin;Turkish;Kafatasının içinde beyin zarları ile örtülü, iki yarım küre biçiminde sinir kütlesinden oluşan, duyum ve bilinç merkezlerinin bulunduğu organ
kalp;Arabic;Göğüs orta boşluğunda, iki akciğer arasında, vücudun her yanından gelen kirli kanı akciğerlere ve oradan gelen temiz kanı da vücuda dağıtan organ
et;Turkish;İnsanlarda, hayvanlarda deri ile kemik arasındaki kas ve yağdan oluşan tabaka
bilim;Turkish;"Evrenin veya olayların bir bölümünü konu olarak seçen, deneye dayanan yöntemler ve gerçeklikten yararlanarak sonuç çıkarmaya çalışan düzenli bilgi; ilim"
fen;Arabic; Fizik, kimya, matematik ve biyolojiye verilen ortak ad
beden;Arabic;"İnsan ve hayvan vücudunda baş, kol ve bacaklar dışında kalan bölüm; gövde."
ileri;Turkish;Herhangi bir şeye göre daha ötede olan yer, geri karşıtı.
dağ;Turkish;Yer kabuğunun çıkıntılı, yüksek, eğimli yamaçlarıyla çevresine hâkim ve oldukça geniş bir alana yayılan bölümü
çeşit;Persian;Aynı cinsten olan şeylerin bazı özelliklerle ayrılan öbeklerinden her biri
makine;Italian;Herhangi bir enerji türünü başka bir enerjiye dönüştürmek, belli bir güçten yararlanarak bir işi yapmak veya etki oluşturmak için çarklar, dişliler ve çeşitli parçalardan oluşan düzenekler bütünü.
maç;French;Karşılaşma
hakem;Arabic;Tarafların aralarındaki anlaşmazlığı çözmek için yetkili olarak seçtikleri ve üzerinde anlaştıkları kişi.
bitki;Turkish;Bulunduğu yere kök vb. organlarıyla tutunan, çoğunlukla fotosentez sonucu yaşam için gerekli bileşenleri oluşturan, birçoğu spor veya tohum aracılığıyla döl vererek çoğalan bir veya çok yıllık, otsu, odunsu canlıların genel adı.
hayvan;Arabic;Duygu ve hareket yeteneği olan, içgüdüleriyle hareket eden canlı yaratık.
metre;French;Yer meridyen çemberinin kırk milyonda biri olarak kabul edilen, 100 cm'lik temel uzunluk ölçüsü birimi.
ilaç;Arabic;Bir hastalığı iyi etmek veya önlemek için türlü yollarla kullanılan madde.
ceza;Arabic;Uygunsuz davranışlarda bulunanlara uygulanan üzüntü, sıkıntı, acı verici işlem veya yaptırım.
ödül;Turkish;Bir başarı karşılığında verilen armağan.
başarılı;Turkish;Başarı gösteren.
imkan;Arabic;Yararlanılan uygun şart veya durum.
kırmızı;Arabic;"Kanın rengi; al."
koltuk;Turkish;Omuz başının altında, kolun gövde ile birleştiği yer.
orman;Turkish;Ağaçlarla örtülü geniş alan.
ağabey;Turkish;Büyük erkek kardeş.
vatandaş;Turkish;Yurttaş.
reklam;French;Bir şeyi halka tanıtmak, beğendirmek ve böylelikle sürümünü sağlamak için denenen her türlü yol.
dergi;Turkish;Siyaset, edebiyat, teknik, ekonomi vb. konuları inceleyen ve belirli aralıklarla çıkan süreli yayın.
geçmiş;Turkish;Zaman bakımından geride kalmış.
sosyal;French;Toplumsal
hastane;Persian;"Hastalara yatarak veya ayakta tanı, tedavi ve bakım hizmetlerinin hekim, hemşire ve diğer sağlık çalışanları tarafından verildiği sağlık kuruluşu; sayrılarevi, darüşşifa."
toplantı;Turkish; Birden çok kimsenin belirli amaçlarla bir araya gelmesi.
gazete;Italian;Politika, ekonomi, kültür ve daha başka konularda haber ve bilgi vermek için yorumlu veya yorumsuz, her gün veya belirli zaman aralıklarıyla çıkarılan yayın.
servis;French;Sofrada hizmet etmekle görevli kimsenin yaptığı iş ve bu işin yapılma biçimi.
dükkan;Arabic;Esnafın perakende satış yaptığı, küçük zanaat sahiplerinin çalıştıkları yer.
tedavi;Arabic;"Çeşitli yöntemlerle hastalığı iyileştirme; terapi."
cümle;Arabic;Bir fikri, duyguyu, düşünceyi, oluşu veya kılışı bir yargı hâlinde anlatmak için çekimli fiille kullanılan kelimeler dizisi veya tek başına kullanılan çekimli fiil.
fiil;Arabic;Eylem.
dilemek;Turkish;"Birinden bir şeyin yapılmasını istemek; rica etmek."
özgürlük;Turkish;Herhangi bir kısıtlamaya, zorlamaya bağlı olmaksızın düşünme veya davranma, herhangi bir şarta bağlı olmama durumu.
ağırlık;Turkish;Terazilerde tartma işi yapılırken bir kefeye konulan nesne.
daire;Arabic;Konut olarak kullanılan bir yapının bölümlerinden her biri.
fırsat;Arabic;Herhangi bir şey için en uygun zaman, uygun durum veya şart.
uçak;Turkish;Kanatlarının altındaki havanın yaptığı basınç yardımıyla yükselip ilerleyebilen motorlu hava taşıtı.
medya;English; İletişim araçları.
sigorta;Italian;Bir şeyin veya bir kimsenin herhangi bir yönden ileride karşılaşabileceği zararı gidermek için önceden ödenen prim karşılığında bu işle uğraşan kuruluşla yapılan iki taraflı bağlantı sözleşmesi
cami;Arabic;Müslümanların ibadet etmek için toplandıkları yer
